name,placeType,city,state,country,rating,reviewsNumber,hostedBy,guestNum,bedroomNum,bedNum,bathNum,cleanliness,accuracy,communication,location,checkIn,Value,full_location,hostJoined,pricePerNight,ID,url,page
Rental of room in cottage Ayaval,"Room in Pachuca, Mexico",Pachuca,Hidalgo,Mexico,,,,1,·,·,,,,,,,,"Pachuca, Hidalgo, Mexico",,12,224,https://airbnb.com/rooms/26066684?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=518764630&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748294_yFc3tQejvlo78fLo&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Cabaña Imperial Real del Monte 1,Entire cabin,Mineral del Monte,Hidalgo,Mexico,,,Juan,4,2,2,1,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2020,99,225,https://airbnb.com/rooms/832721309588799544?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748294_6ORAkilZ0jxi3mKt&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Connect with nature.,"Room in Omitlán de Juárez, Mexico",Omitlán de Juárez,Hidalgo,Mexico,5.0,3,Irving,12,4,4,,5.0,5.0,5.0,5.0,5.0,5.0,"Omitlán de Juárez, Hidalgo, Mexico",2020,469,226,https://airbnb.com/rooms/865489944077478558?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697748294_ymQ5lKKp9titDETu&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Nice cabin in the middle of the forest.,Place to stay in a hut,NA,NA,NA,,,,4,1,1,1.5,,,,,,,"Mineral del Chico, Hidalgo, Mexico",2021,83,227,https://airbnb.com/rooms/716203345448421336?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748294_EHfgaHDkFHPRS%2F2c&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
El Rincon del Duende Cabaña 10,Entire cabin,San José Ocotillos,Hidalgo,Mexico,4.86,7,,6,1,1,1,4.7,4.7,4.9,4.9,4.9,4.7,"San José Ocotillos, Hidalgo, Mexico",2019,94,228,https://airbnb.com/rooms/39585195?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748294_g8TFnpH3dbLIFu2T&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Magical Place for Rest,Hut,Omitlán de Juárez,Hidalgo,Mexico,,,Desarrollo Turistico,2,1,1,1,,,,,,,"Omitlán de Juárez, Hidalgo, Mexico",2022,80,229,https://airbnb.com/rooms/746561537112997089?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748294_oSbzt0ionTPFzwX4&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Luxury Rest Family House,Entire cabin,Mineral del Monte,Hidalgo,Mexico,,,,10,4,4,2.5,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2022,276,230,https://airbnb.com/rooms/852946674889695484?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748294_a6cUOAP3JEz%2B1zGG&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Imperial Real del Monte 2 Cabin,Entire cabin,Mineral del Monte,Hidalgo,Mexico,,,Juan,4,2,2,1,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2020,99,231,https://airbnb.com/rooms/832731175985218579?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748294_b4uFMZWvESyENGUX&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Exhausting room rentals,Entire home,NA,NA,NA,,,Rodrigo,14,7,7,8,,,,,,,"Omitlán de Juárez, Hidalgo, Mexico",2015,248,232,https://airbnb.com/rooms/11817700?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-21&check_out=2023-10-26&source_impression_id=p3_1697748294_h6Z%2F8de8%2F6lwgO6L&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Family Cabana,Entire cabin,NA,NA,NA,,,,4,2,2,1,,,,,,,"Hidalgo, Mexico",2023,143,233,https://airbnb.com/rooms/882733126120907551?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748294_9et7N3tGt26sfOnd&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
